id,Response
1,Y
2,N
3,Y
4,N
5,N
6,Y
7,Y
8,Y
9,N
10,N
11,Y
12,N
13,N
14,Y
15,N
16,Y
17,Y
18,N
19,Y
20,Y
21,Y
22,Y
23,N
24,Y
25,N
26,N
27,Y
28,N
29,N
30,Y
31,N
32,Y
33,Y
34,Y
35,N
36,N
37,N
38,N
39,Y
40,N
41,Y
42,N
43,N
44,N
45,N
46,Y
47,N
48,N
49,N
50,N
51,N
52,Y
53,N
54,N
55,Y
56,Y
57,Y
58,Y
59,Y
60,N
61,Y
62,Y
63,Y
64,N
65,Y
66,Y
67,Y
68,Y
69,N
70,Y
71,Y
72,Y
73,N
74,N
75,N
76,N
77,N
78,N
79,Y
80,N
81,Y
82,N
83,N
84,Y
85,Y
86,Y
87,Y
88,Y
89,N
90,Y
91,N
92,N
93,Y
94,N
95,Y
96,N
97,Y
98,Y
99,Y
100,Y
101,N
102,N
103,Y
104,N
105,Y
106,Y
107,N
108,Y
109,Y
110,Y
111,N
112,Y
113,N
114,Y
115,N
116,Y
117,Y
118,N
119,N
120,N
121,Y
122,N
123,Y
124,Y
125,N
126,Y
127,N
128,Y
129,Y
130,N
131,Y
132,N
133,N
134,N
135,N
136,Y
137,Y
138,Y
139,N
140,N
141,N
142,N
143,N
144,Y
145,N
146,Y
147,N
148,N
149,Y
150,N
151,Y
152,Y
153,Y
154,N
155,N
156,Y
157,Y
158,Y
159,Y
160,N
161,N
162,N
163,N
164,N
165,N
166,N
167,Y
168,Y
169,N
170,N
171,N
172,N
173,Y
174,N
175,N
176,N
177,N
178,N
179,Y
180,Y
181,N
182,Y
183,N
184,N
185,Y
186,N
187,Y
188,Y
189,Y
190,N
191,N
192,N
193,N
194,N
195,N
196,N
197,N
198,Y
199,N
200,Y
201,Y
202,Y
203,N
204,N
205,Y
206,Y
207,N
208,Y
209,N
210,Y
211,N
212,Y
213,Y
214,N
215,N
216,N
217,Y
218,Y
219,Y
220,N
221,N
222,Y
223,N
224,Y
225,Y
226,N
227,N
228,N
229,N
230,Y
231,Y
232,Y
233,Y
234,N
235,N
236,Y
237,Y
238,N
239,N
240,Y
241,N
242,N
243,Y
244,Y
245,N
246,Y
247,Y
248,Y
249,N
250,N
251,N
252,N
253,Y
254,N
255,N
256,Y
257,N
258,Y
259,N
260,N
261,Y
262,N
263,N
264,N
265,Y
266,N
267,Y
268,N
269,Y
270,N
271,Y
272,Y
273,Y
274,N
275,Y
276,Y
277,Y
278,Y
279,Y
280,N
281,N
282,Y
283,N
284,Y
285,Y
286,Y
287,N
288,Y
289,Y
290,Y
291,N
292,N
293,Y
294,N
295,N
296,Y
297,Y
298,Y
299,Y
300,N
301,N
302,Y
303,Y
304,N
305,N
306,N
307,N
308,N
309,Y
310,N
311,Y
312,Y
313,N
314,N
315,Y
316,Y
317,N
318,N
319,Y
320,Y
321,Y
322,N
323,Y
324,Y
325,N
326,N
327,N
328,N
329,Y
330,Y
331,N
332,Y
333,N
334,Y
335,N
336,N
337,N
338,N
339,Y
340,Y
341,Y
342,N
343,Y
344,N
345,N
346,Y
347,Y
348,Y
349,Y
350,Y
351,Y
352,N
353,N
354,N
355,Y
356,N
357,Y
358,Y
359,Y
360,Y
361,Y
362,N
363,Y
364,N
365,Y
366,N
367,Y
368,Y
369,N
370,N
371,Y
372,N
373,Y
374,N
375,Y
376,Y
377,N
378,N
379,N
380,N
381,N
382,Y
383,Y
384,Y
385,N
386,N
387,N
388,N
389,Y
390,Y
391,Y
392,N
393,Y
394,N
395,Y
396,N
397,Y
398,N
399,Y
400,Y
401,Y
402,Y
403,Y
404,Y
405,Y
